A	a
Zusammengehörigkeit	togetherness
schuftete	toiled
Klopapier	toiletpaper
Toilettenartikel	toiletry
toilette	toilette
Toiling	toiling
toke	toke
erzählt	told
Toleranz	tolerance
tolerant	tolerantly
tolerieren	tolerate
Duldung	toleration
Mautstelle	tollgate
läutend	tolling
tom	tom
Tomahawk	tomahawk
Tomate	tomato
Wildfang	tomboy
burschikos	tomboyish
morgen	tomorrow
Tonne	ton
Tonalität	tonality
Ton	tone
tonlos	tonelessly
Toner	toner
Zunge	tongue
gezungen	tongued
Zungenschlag	tonguing
Tonic	tonic
heute Abend	tonight
Tonsillektomie	tonsillectomy
Mandelentzündung	tonsillitis
Tony	tony
nahm	took
Werkzeug	tool
Symbolleiste	toolbar
Werkzeugkasten	toolbox
Werkzeuge	tooling
Toolkit	toolkit
Werkzeugmacher	toolmaker
Werkzeugschuppen	toolshed
blasen	toot
Zahn	tooth
Zahnschmerzen	toothache
Zahnbürste	toothbrush
zahnlos	toothlessly
Zahnpasta	toothpaste
Zahnstocher	toothpick
zahnig	toothy
Decklack	topcoat
oben ohne	topless
oberste	uppermost
erstklassig, spitzenmäßig	topnotch
Topograph	topographer
topographisch	topographically
Topographie	topography
topologisch	topological
Topologe	topologist
Topper	topper
Belag	topping
Marssegel	topsail
Oberseite	topside
Mutterboden	topsoil
Fackelträger	torchbearer
Fackelschein	torchlight
tore	tore
Peiniger	tormentor
Tornado	tornado
Torpedo	torpedo
Drehmoment	torque
Torrent	torrent
sintflutartig	torrentially
Torso	torso
Tortellini	tortellini
Tortilla	tortilla
Schildkröte	turtle
Schildpatt	tortoiseshell
Folter	torture
gefoltert	tortured
Folterer	torturer
foltern	torturing
tossup	tossup
bis	tot
totalitär	totalitarian
Totalitarismus	totalitarianism
total	totally
Totem	totem
berühren	touch
anfassbar	touchable
berührt	touched
berührend	touching
rührend	whisking
Touchpad	touchpad
Touch-Screen	touchscreen
Prüfstein	touchstone
Nachbesserung	touchup
Zähigkeit	toughness
Toupet	toupee
Tour	tour
auf Tour	touring
Tourismus	tourism
Tourist	tourist
touristisch	touristy
Turnier	tournament
Abschleppen	towing
abschleppbar	towable
in Richtung	towards
Schleppboot	towboat
Handtuch	towel
überragt	towered
hoch aufragend	towering
Towhead	towhead
Schleppleine	towline
Reihenhaus	townhome
Stadthaus	townhouse
Townie	townie
Städter	townspeople
Stadtfrau	townswoman
Toxizität	toxicity
toxikologisch	toxicologically
Toxikologe	toxicologist
Toxikologie	toxicology
Toxin	toxin
liebäugelt	toying
Spielzeughersteller	toymaker
Spielzeugladen	toyshop
Rückverfolgbarkeit	traceability
Nachvollziehbarkeit	traceableness
Tracer	tracer
Luftröhre	windpipe
Tracheotomie	tracheotomy
Nachverfolgung	tracing
verfolgt	tracked
Tracker	tracker
Tracklayer	tracklayer
Gleisseite	trackside
Trakt	tract
Lenkbarkeit	tractability
Traktion	traction
Traktor	tractor
Warenzeichen	trademark
Abtausch	tradeoff
Gewerbetreibender	tradesperson
Tradition	tradition
traditionell	traditionally
Traditionalismus	traditionalism
Traditionalist	traditionalist
Traditionalistisch	traditionalistic
Traditionalisieren	traditionalize
Menschenhändler	trafficker
Tragödie	tragedy
tragisch	tragically
hinterher	trailing
Wegrand	trailside
trainierbar	trainable
Zugführer	traindriver
ausgebildet	trained
Auszubildender	trainee
trainer	trainer
Zugladung	trainload
Eigenschaft	trait
verräterisch	treasonously
Tramp	tramp
trampeln	trample
Trampolin	trampoline
Trance	trance
tranceartig	trancelike
tätigen	transact
Transaktion	transaction
transaktional	transactional
transatlantisch	transatlantic
Transceiver	transceiver
transzendieren	transcend
transzendental	transcendental
transzendent	transcendently
transkontinental	transcontinental
transkribieren	transcribe
Transkriptor	transcriber
Transkript	transcript
Transkription	transcriptional
Transekt	transect
überweisen	transfer
Übertragbarkeit	transmissibility
Übertragung	transferral
Verklärung	transfiguration
verwandeln	transform
Wandelbarkeit	transformability
wandelbar	transformable
Transformation	transformation
transformierend	transformational
transformativ	transformative
Transformator	transformer
transformieren	transforming
Transfusion	transfuse
Transgender	transgendered
übertreten	transgressing
Übertreter	transgressor
Vergänglichkeit	transiency
vergänglich	transitory
Transistor	transistor
Transit	transit
Übergang	transitional
transitiv	transitive
Übersetzung	translation
Transluzenz	translucency
durchscheinend	translucently
Transmigration	transmigration
Übermittlung	transmittal
transnational	transnational
transozeanisch	transoceanic
transparent	transparently
schwitzen	transpire
Transplantation	transplantation
verpflanzbar	transplantable
Transponder	transponder
Transport	transportation
Transportfähigkeit	transportability
transportierbar	transportable
transportiert	transported
Transporter	vanload
transportieren	transporting
transponierbar	transposable
transponieren	transpose
Umsetzung	transposition
Transsexuelle	transsexual
Transvestit	transvestite
Falltür	trapdoor
Trapez	trapezoid
trapezförmig	trapezoidal
Fallensteller	trapper
Einfangen	trapping
Fallen	traps
Fallenschießen	trapshooting
Mülleimer	trashcan
Trashigkeit	trashiness
trashig	trashy
Trauma	trauma
traumatisch	traumatically
traumatisieren	traumatize
gereist	travelled
Reisender	voyageur
überfahrbar	traversable
Durchquerung	traversal
Traverse	traverse
durchquert	traversed
durchqueren	traversing
Travestie	travesty
Tablett	tray
tückisch	treacherous
Laufband	treadmill
Schatzmeister	treasurer
Schatzkammer	treasury
behandeln	treating
behandelbar	treatable
Behandlung	treatment
verdreifachen	triple
Baum	tree
Baumhaus	treehouse
baumlos	treeless
baumartig	treelike
Baumkrone	treetop
zieht	trekker
Tremor	tremor
trenchcoat	trenchcoat
Trend	trend
trendig	trendiness
Trendsetter	trendsetter
richtungsweisend	trendsetting
Trends	trendy
Hausfriedensbruch	trespass
Locken	tresses
Triage	triage
Versuch	trial
Dreieck	triangle
dreieckig	triangularly
triangulieren	triangulate
Triangulation	triangulation
Triathlet	triathlete
Triathlon	triathlon
Tribalismus	tribalism
stammesmäßig	tribally
Stamm	trunk
Stammesangehörige	tribesman
Stammesfrau	tribeswoman
Drangsal	tribulation
Tribun	tribune
Nebenfluss	tributary
Tribut	tribute
Trizeps	triceps
Triceratops	triceratops
Trickserei	trickery
knifflig	trickiness
tricksen	tricking
Rinnsal	trickle
rieselnd	trickling
dreifarbig	tricolored
Dreirad	tricycle
Dreizack	trident
dreidimensional	tridimensional
Kleinigkeit	trifling
Trifokalbrille	trifocals
auslösen	trigger
Ausgelöst	triggered
Triggerman	triggerman
Triglycerid	triglyceride
trigonometrisch	trigonometric
Trigonometrie	trigonometry
dreisprachig	trilingual
Billionstel	trillionth
Trilogie	trilogy
trimmen	trim
Trimmer	trimmer
Trimmen	trimming
Trimmung	trimness
Dreieinigkeit	trinity
Schmuckstück	trinket
Trio	trio
Kutteln	tripe
Triplett	triplet
Triplex	triplex
dreifach	triplicate
Stativ	tripod
Ausflügler	tripper
Stolpern	tripping
Stolperdraht	tripwire
dreigeteilt	trisected
Dreiteilung	trisection
Banalität	triteness
Triumph	triumph
triumphierend	triumphing
trivial	trivially
trivialisieren	trivialize
Trivialität	trivialness
Troll	troll
trollen	trolling
Posaune	trombone
Posaunist	trombonist
Trupp	troop
Truppen	troops
Trophäe	trophy
tropisch	tropically
Tropen	tropics
Trab	trot
Traber	trotter
Unruhestifter	troublemaker
Ärger machen	troublemaking
Fehlerbehebung	troubleshooter
trounce	trounce
Truppe	troupe
Forelle	trout
schwänzen	truant
LKW	truck
Trucker	trucker
LKW-Transport	trucking
LKWs	trucks
stapfen	trudge
WAHR	true
wahre Liebe	truelove
Wahrhaftigkeit	veraciousness
Trüffel	truffle
Trumpf	trump
Trompete	trumpet
Trompeter	trumpeter
Trompeten	trumpeting
Stämme	trunks
vertrauenswürdig	trusty
Treuhänder	trustee
Treuhandschaft	trusteeship
Vertrauensseligkeit	trustfulness
vertrauenslos	trustless
Vertrauenswürdigkeit	trustworthiness
wahrhaftig	veraciously
wahrheitsgemäß	truthfully
ausprobieren	tryout
Stelldichein	tryst
Tsunami	tsunami
Wanne	tub
Tubigkeit	tubbiness
tubby	tubby
schlauchlos	tubeless
tubful	tubful
röhrenförmig	tubular
stecken	tuck
Dienstag	tuesday
Schlepper	tugboat
zerren	tugging
Unterricht	tuition
Tulpe	tulip
purzeln	tumble
gestürzt	tumbled
Steppenläufer	tumbleweed
taumelnd	tumbling
Tumor	tumor
turbulent	turbulently
Thunfisch	tuna
abstimmbar	tuneable
Tundra	tundra
abgestimmt	tuned
unmelodisch	unmelodic
Tuner	tuner
Wolfram	tungsten
Tunika	tunic
Tuning	tuning
Tunnel	tunnel
Tupperware	tupperware
Turban	turban
Turbine	turbine
Turbinen	turbines
Turbo	turbo
Turbolader	turbocharger
Turbofan	turbofan
Turbojet	turbojet
Turbulenz	turbulence
Scheißhaufen	turd
Truthahn	turkey
Wende	turnabout
Überläufer	turncoat
sich herausstellen	turnout
Umsatz	turnover
Schlagbaum	turnpike
wendet sich	turns
Drehkreuz	turnstile
Terpentin	turpentine
Türkis	turquoise
Turteltaube	turtledove
Schildkrötenkopf	turtlehead
Rollkragen	turtleneck
Stoßzahn	tusk
mit Stoßzähnen	tusked
Tutor	tutor
Lernprogramm	tutorial
Nachhilfe	tutorship
Smoking	tuxedo
Fernseher	tv
twang	twang
Tweaker	tweaker
twittern	tweeting
Hochtöner	tweeter
Pinzette	tweezers
Zwölftel	twelfth
zwölf	twelve
zwanzigsten	twentieth
Twerp	twerp
zweimal	twice
herumdrehen	twiddling
zweigig	twiggy
Zwilling	twin
zwinkern	winker
funkelt	twinkles
zwinkernd	twinkly
Twist	twist
verdrehbar	twistable
verdrehte	twisted
Twister	twister
verdreht	wrenched
Zucken	twitchiness
Twitter	twitter
zwei	two
zwei Gesichter	twofaced
zu zweit	twosome
Tycoon	tycoon
Typ	type
Typisierung	typecast
Typoskript	typescript
Schriftsetzer	typesetter
Schreibmaschine	typewriter
Maschinenschreiben	typewriting
Typhus	typhus
Taifun	typhoon
typisch	typical
Typizität	typicality
typischerweise	typically
Schreibkraft	typist
Tippfehler	typo
Typograf	typographer
typografisch	typographically
Typografie	typography
typologisch	typological
tyrannisch	tyrannously
tyrannisieren	tyrannizing
Tyrannosaurus	tyrannosaurus
Tyrannei	tyranny
Tyrann	tyrant
Euter	udder
Hässlichkeit	ugliness
Ukulele	ukulele
Geschwür	ulcer
geschwürig	ulcerated
ulzerativ	ulcerative
ultimativ	ultimate
letzten Endes	ultimately
Ultimatum	ultimatum
Ultra	ultra
ultra Konservativ	ultraconservative
ultraschnell	ultrafast
ultraliberal	ultraliberal
ultraleicht	ultralight
Sehr niedrig	ultralow
ultramikroskopisch	ultramicroscopic
ultraorthodox	ultraorthodox
ultrakurz	ultrashort
Ultraschall-	ultrasonic
Ultraschall	ultrasound
Ultraviolett	ultraviolet
Nabelschnur	umbilical
Regenschirm	umbrella
unverfroren	unabashedly
unvermindert	undiminished
ungekürzt	unreduced
nicht absorbiert	unabsorbed
ohne Akzent	unaccented
nicht akzeptiert	unaccepted
unvollendet	unfinished
Unverantwortlichkeit	unaccountability
unberücksichtigt	unconsidered
nicht akkreditiert	unaccredited
unerreichbar	unreachably
unbestätigt	unverified
unbekannt	unrenowned
nicht adressiert	unaddressed
unannehmbar	unadoptable
unverfälscht	uncorrupting
abenteuerlos	unadventurously
unangekündigt	unheralded
unberaten	unadvised
unästhetisch	unaesthetic
unberührt	unspoiled
unbeeinträchtigt	unimpaired
Unberührtheit	unaffectedness
unbeeinflusst	uninfluenced
unaggressiv	unaggressive
ohne Hilfe	unaided
ungelüftet	unaired
unbeunruhigt	unalarmed
unverbündet	unallied
unverändert	unvaried
unanalysiert	unanalyzed
unverankert	unanchored
einstimmig	unanimously
unangemeldet	unannounced
unbeantwortbar	unanswerably
unerwartet	unexpectedly
entschuldigungslos	unapologetic
unattraktiv	unattractive
unstillbar	unappeasably
ungestillt	unappeased
unappetitlich	unsavory
unbemerkbar	unappreciable
unbeachtet	unheedingly
nicht genehmigt	unapproved
unbewaffnet	unarmed
ungepanzert	unarmored
nicht feststellbar	unascertainable
unangreifbar	unassailably
unmontiert	unrigged
unbehauptet	unasserted
nicht zugewiesen	unassigned
unassimiliert	unassimilated
ohne Unterstützung	unassisted
unerreicht	unreached
unbeaufsichtigt	unsupervised
unbeglaubigt	unattested
Unattraktivität	unattractiveness
nicht zugeschrieben	unattributed
unauthentisch	unauthentic
nicht authentifiziert	unauthenticated
nicht autorisiert	unauthorized
Nichtverfügbarkeit	unavailability
nicht verfügbar	unavailable
vergeblich	vainly
du bist eine Frau	unawake
nicht bewusst	unaware
ungebacken	unbaked
unausgeglichen	unbalanced
entsperrt	unlocked
unschlagbar	unhittable
ungeschlagen	unbeaten
unschön	unlovely
ungebührlich	unbecoming
unziemlich	unbecomingly
Unziemlichkeit	unbecomingness
unbemerkt	unremarked
Ungläubige	unbeliever
unbiegbar	unbendable
unbeugsam	unbendingly
unvorteilhaft	unbeneficial
ungebogen	unbent
unbigott	unbigoted
nicht in Rechnung gestellt	unbilled
unbitten	unbitten
ungebleicht	unbleached
ungemischt	unblended
ungesegnet	unblessed
ohne zu blinzeln	unblinkingly
entsperren	unlocking
ohne Erröten	unblushingly
entriegelt	unbolted
ungeboren	unborn
ungestört	unrushed
ungebeugt	unbowed
ausgepackt	unwrapped
ungeflochten	unbraided
Markenlos	unbranded
unzerbrechlich	uncrushable
ungezügelt	unbridled
ungebrochen	unbroken
abschnallen	unbuckle
nicht angeschnallt	unbuckled
nicht budgetiert	unbudgeted
aufschlüsseln	unbundle
entbündelt	unbundled
unbelastet	unstressed
unbegraben	unbury
unverbrannt	unburned
aufknöpfen	unbutton
aufgeknöpft	unbuttoned
unberechnet	uncalculated
unaufgefordert	unsolicited
unbesetzt	vacant
öffnen	uncap
ohne Bildunterschrift	uncaptioned
ohne Teppich	uncarpeted
unverpackt	unpacked
uneinholbar	uncatchable
nicht kategorisiert	uncategorized
ungefeiert	uncelebrated
unzensiert	uncensored
unzeremoniell	unceremonious
kurzerhand	unceremoniously
entfesseln	unshackling
entfesselte	unchained
unanfechtbar	unimpeachable
unangefochten	unchallenging
uncharakteristisch	uncharacteristically
uncharakterisiert	uncharacterized
ungeladen	uncharged
ungechartert	unchartered
unkeusch	unchaste
ungeprüft	uninspected
unchristlich	unchristian
unzirkuliert	uncirculated
unbeschnitten	untrimmed
unzivilisiert	uncivilized
unbekleidet	unrobed
nicht abgeholt	unclaimed
nicht klassifizierbar	unclassifiable
nicht klassifiziert	unclassified
Onkel	uncloak
unklar	unclear
entklicken	unclick
ausclipsen	unclip
entclipst	unclipped
unverhüllt	unconcealed
nicht verstopft	unclogged
nicht geschlossen	unclosed
ausziehen	unclothe
ungetrübt	untarnished
aufgeräumt	uncluttered
abwickeln	uncoil
nicht gesammelt	uncollected
uneinbringlich	uncollectible
ungefärbt	uncolored
ungekämmt	uncombed
unkombiniert	uncombined
unbequem	uncomfortable
unkommentiert	uncommented
Ungewöhnlichkeit	unusualness
Unkommunikativität	uncommunicativeness
ungezwungen	unstrained
unentschädigt	uncompensated
nicht konkurrenzfähig	uncompetitive
unverbunden	unconnectedly
unkomprimiert	uncompressed
kompromisslos	uncompromisingly
nicht abgeschlossen	unconcluded
unkondensiert	uncondensed
bedingungslos	unconditionally
unbedingt	unconditioned
unbeschränkt	unconfined
nicht verwirrt	unconfused
nicht überlastet	uncongested
unwissentlich	unwittingly
Bewusstlosigkeit	unconsciousness
nicht konsolidiert	unconsolidated
verfassungswidrig	unconstitutionally
Verfassungswidrigkeit	unconstitutionality
uneingeschränkt	unrestrictive
unkonstruiert	unconstructed
unkonstruktiv	unconstructive
unverbraucht	unconsumed
unaufhaltbar	uncontainable
nicht enthalten	uncontained
unkontaminiert	uncontaminated
unbestritten	unquestioned
ungekünstelt	unsophisticated
Unkontrollierbarkeit	uncontrollability
unkontrolliert	uncontrolled
nicht konvertiert	unconverted
nicht überzeugt	unconvinced
nicht überzeugend	unconvincing
wenig überzeugend	unconvincingly
ungekocht	uncooked
unkooperativ	uncooperative
unkoordiniert	uncoordinated
entkorken	uncorking
nicht korrigierbar	uncorrectable
unkorreliert	uncorrelated
unverdorben	uncorrupted
unzählbar	uncountable
ungezählt	uncounted
abkuppeln	uncouple
entkoppelt	unhitched
unmutig	uncourageous
ungehobelt	uncouth
aufdecken	uncover
unbedeckt	uncovered
ungeschaffen	uncreated
unkreativ	uncreative
unkritisch	uncritically
entkreuzen	uncross
ungekreuzt	uncrossed
entkrönen	uncrown
ungekrönt	uncrowned
entkrönt	uncrowning
unzerkleinert	uncrushed
unkultiviert	uncultivated
ungebildet	uneducated
ungehärtet	unhardened
entrollen	uncurl
entkräuselt	uncurled
sich entfalten	uncurling
ungeschnitten	unsliced
unbeschädigt	undamaged
unschädlich	undamaging
ungedämmt	undammed
undatiert	undated
Untote	undead
nicht täuschen	undeceive
nicht getäuscht	undeceived
nicht täuschend	undeceiving
unentschieden	undecided
nicht deklariert	undeclared
undekoriert	undecorated
nicht gewidmet	undedicated
unbesiegt	unvanquished
unverteidigt	undefended
nicht definiert	undefined
nicht gelöscht	undeleted
unzustellbar	undeliverable
nicht zugestellt	undelivered
nicht nachgewiesen	undemonstrated
undemonstrativ	undemonstrative
unzuverlässig	unreliably
untererfüllen	underachieve
Unzureichende Leistung	underachievement
Underachiever	underachiever
minderjährig	underage
unterschätzt	underrated
Unterleib	underbelly
unterbieten	undersell
unterzüchtet	underbred
Unterholz	undergrowth
Unterladung	undercharge
unterbezahlt	underpay
Unterschüler	underclassman
grundiert	undercoated
zu wenig gekocht	undercook
unzureichend gekocht	undercooked
Unterströmung	undercurrent
Unterbietung	undercutting
unterentwickelt	underdeveloped
in Entwicklung	underdevelopment
unterbewertet	underdone
unterkleidet	underdressed
untergebildet	undereducated
Unterbeschäftigung	underemployment
unterschätzen	underrate
Unterschätzung	underestimation
unterbelichten	underexpose
unterbelichtet	underexposed
Unterbelichtung	underexposure
unter den Füßen	underfoot
unterfinanziert	underfunded
unterziehen	undergo
durchmachen	undergoing
Bachelor	undergraduate
unter der Hand	underhand
unterversichert	underinsured
zugrunde liegen	underlie
unterstreichen	underscore
Untergebener	underling
Aushöhlung	undermining
Unterführung	underpass
Unterbezahlung	underpayment
unterdurchschnittlich abschneiden	underperform
Unterleistung	underperformance
Untermauerung	underpinning
untermotorisiert	underpowered
unzureichend vorbereitet	underprepared
unterprivilegiert	underprivileged
Unterproduktion	underproduction
unterproduktiv	underproductive
Unterrepräsentation	underrepresentation
unterrepräsentiert	underrepresented
unterseeisch	undersea
Unterverkauf	underselling
untergeschlechtlich	undersexed
unterschritten	undershot
Unterseite	undersurface
unterzeichnen	undersign
unterzeichnet	undersigned
Untermaß	undersize
unterdimensioniert	undersized
Unterrock	underskirt
unterspezifiziert	underspecified
verstehen	understand
verständlicherweise	understandably
verständnisvoll	understandingly
untertreiben	understate
Untertreibung	understatement
verstanden	understood
Zweitstudium	understudy
Unterversorgung	undersupply
unternehmen	undertake
Bestatter	undertaker
Unterton	undertone
unternommen	undertook
untertrainiert	undertrained
Unterbeanspruchung	underuse
nicht ausreichend genutzt	underutilized
Unterbewertung	undervaluation
unterbewerten	undervaluing
unter Wasser	underwater
im Gange	underway
Untergewicht	underweight
untergewichtet	underweighted
unterzog	underwent
unterfordert	underwhelmed
Versicherer	underwriter
Underwriting	underwriting
unverdient	unmerited
unwürdig	unworthy
unbenannt	unnamed
Unerwünschtheit	undesirability
unerwünscht	unwanted
unzerstört	undestroyed
ungelöst	unsolved
unentdeckt	undiscovered
unbeirrt	unperturbedly
unentwickelbar	undevelopable
unentwickelt	undeveloped
rückgängig gemacht	undone
undifferenziert	undifferentiated
undiffundiert	undiffused
unverdünnt	undiluted
ungedämpft	undimmed
undiplomatisch	undiplomatic
ungerichtet	undirected
nicht ausgezahlt	undisbursed
uneinsichtig	undiscerning
undiszipliniert	undisciplined
nicht bekannt gegeben	undisclosed
undiskontiert	undiscounted
nicht entmutigt	undiscouraged
diskriminierungslos	undiscriminating
unverkleidet	undisguised
unverzerrt	undistorted
unverteilt	undistributed
ungeteilt	unshared
rückgängig machen	undo
rückgängig zu machen	undoable
abdocken	undock
abgedockt	undocked
undokumentiert	undocumented
undomestiziert	undomesticated
unzweifelhaft	undoubted
unbearbeitet	unelaborated
undrapiert	undraped
ungeahnt	undreamt
ungebohrt	undrilled
wellig	wavy
ungestaubt	undusted
unwillig	unwilling
ausgegraben	unearthed
Unirdischkeit	unearthliness
uneaten	uneaten
unwirtschaftlich	uneconomically
nicht gewählt	unelected
unbefangen	unselfconscious
ungestickt	unembroidered
nicht eingeschlossen	unenclosed
nicht bestätigt	unendorsed
energielos	unenergetic
nicht durchsetzbar	unenforceable
nicht durchgesetzt	unenforced
du bist verlobt	unengaged
unaufgeklärt	unenlightened
unaufschlussreich	unenlightening
Du bist unterhaltsam	unentertaining
nicht begeistert	unenthused
unenthusiastisch	unenthusiastic
ohne Begeisterung	unenthusiastically
nicht beneidenswert	unenviable
nicht beneidet	unenvied
ungleich	unequal
ungleichmäßig	uneven
unbestückt	unequipped
unethisch	unethically
unbewertet	unvalued
unübertrieben	unexaggerated
nicht ausgegraben	unexcavated
unübertroffen	unsurpassed
nicht außergewöhnlich	unexceptional
unaufgeregt	unexcited
unaufregend	unexciting
unentschuldigt	unexcused
nicht ausgeführt	unperformed
ungeübt	unpracticed
unerschöpft	unexhausted
Unerwartetheit	unexpectedness
nicht abgelaufen	unexpired
unerklärt	unexplained
nicht explodiert	unexploded
ungenutzt	untapped
unerforscht	unexplored
unbelichtet	unexposed
unfair	unfairly
untreu	unfaithfully
unfaltering	unfaltering
unerschütterlich	unwaveringly
Unbekanntheit	unfamiliarity
unbewirtschaftet	unfarmed
unmodern	unfashionable
unväterlich	unfatherly
unfassbar	ungraspable
unbeeindruckt	unperturbed
unweiblich	unfeminine
nicht eingezäunt	unfenced
unvergoren	unfermented
unfertile	unfertile
ungedüngt	unfertilized
nicht abgelegt	unfiled
ungefüllt	unstuffed
ungefiltert	unfiltered
ungefeuert	unfired
nicht fischbar	unfishable
untauglich	unfit
Untauglichkeit	unsuitability
ungeeignet	unsuited
unfixierbar	unfixable
unfixiert	unfixed
wenig schmeichelhaft	unflatteringly
geschmacksneutral	unflavored
unkonzentriert	unfocused
entfalten	unfold
entfaltet	unfolded
Entfaltung	unfolding
unvorhersehbar	unpredictably
unvorhergesehen	unpremeditatedly
unverzeihlich	unpardoned
unvergeben	unforgiven
unvergessen	unremembered
unformatiert	unformatted
ungeformt	unshaped
unformuliert	unformulated
unbefestigt	unfortified
unglücklich	unlucky
Leider	unfortunately
nicht gefunden	unfound
ungerahmt	unframed
Auftauen	unfreezing
Unfreundlichkeit	unkindness
unfreundlich	unkindly
ungefroren	unfrosted
aufgetaut	unfrozen
unerfüllt	unfulfilling
nicht finanziert	unfunded
unlustig	unfunny
unmöbliert	unfurnished
schnörkellos	unfussy
Dein gehört dir	ungallantly
Sie sind nicht schön	ungentle
ungifted	ungifted
unglasiert	unglazed
ungehandschuht	ungloved
ungeklebt	unglued
unregierbar	ungovernable
unregiert	ungoverned
ungraziös	ungracefully
ungnädig	ungraciously
unbenotet	ungraded
ungrammatisch	ungrammatically
ungefettet	ungreased
ungeerdet	ungrounded
nicht gruppiert	ungrouped
neidlos	ungrudging
ungarantiert	unguaranteed
unbewacht	unguardedly
unheilig	unsacred
ungehindert	unopposed
loslassen	unhand
unbehandelt	untreated
unhandy	unhandy
Unzufrieden	unhappy
unversehrt	unmarred
ungeschnürt	unlaced
ungeheilt	unhealed
ungesund	unwholesomely
Ungesundheit	unwholesomeness
ungehört	unhearing
unbeheizt	unheated
achtlos	unheeding
nicht hilfreich	unhelpful
wenig hilfreich	unhelpfully
Nichthilfsbereitschaft	unhelpfulness
ohne zu zögern	unhesitating
ohne Zögern	unhesitatingly
unversteckt	unhidden
unhinge	unhinge
unhistorisch	unhistorical
ausspannen	unhitch
aushängen	unhook
ausgehakt	unhooked
ohne Eile	unhurried
in aller Ruhe	unhurriedly
unverletzt	uninjured
unhygienisch	unsanitary
ohne Bindestrich	unhyphenated
Einhorn	unicorn
Einrad	unicycle
Einradfahrer	unicyclist
nicht identifizierbar	unidentifiably
eindimensional	unidimensional
unidirektional	unidirectional
Vereinigung	uniting
einheitlich	unified
Uniform	uniform
uniformiert	uniformed
vereinheitlichen	unify
vereinigend	unifying
Unilateralismus	unilateralism
unilateralistisch	unilateralist
einfallslos	uninventive
Einfallslosigkeit	unimaginativeness
unwichtig	unimportant
unbeeindruckbar	unimpressionable
unverbessert	unimproved
nicht eingetragen	unrecorded
nicht angeklagt	unprosecuted
unindustrialisiert	unindustrialized
nicht infiziert	uninfected
nicht informiert	uninformed
unbewohnbar	unlivable
unbewohnt	uninhabited
hemmungslos	unrestrainedly
uneingeweiht	uninitiated
uninspiriert	uninspired
uninspirierend	uninspiring
deinstallieren	uninstall
deinstalliert	uninstalled
uninstruiert	uninstructed
nicht versicherbar	uninsurable
unversichert	uninsured
Unintelligenz	unintelligence
unintelligent	unintelligently
uninteressiert	uninterested
uninteressant	uninterestingly
unintuitiv	unintuitive
nicht untersucht	uninvestigated
ohne Einladung	uninvited
unbeteiligt	uninvolved
Union	union
Unionismus	unionism
Gewerkschaftsbildung	unionization
gewerkschaftlich organisieren	unionize
einzigartig	uniquely
Einzigartigkeit	uniqueness
unisex	unisexual
Einklang	unison
unveröffentlicht	unreleased
Vereinen	unite
vereinigt	united
Universal-	universal
Universalismus	universalism
Universalität	universality
universalisieren	universalize
Universum	universe
Universität	university
entmantelt	unjacketed
nicht zu rechtfertigen	unjustifiable
ungerechtfertigt	unwarrantedly
nicht nett	unkind
entknoten	unknot
ungeknotet	unknotted
unerkennbar	unknowledgeable
Unbekannt	unknown
unbeschriftet	unlettered
aufschnüren	unlace
undamenhaft	unladylike
entfesselt	unshackled
entriegeln	unsnap
rechtswidrig	unlawfully
verlernen	unlearn
verlernt	unlearned
ungesäuert	unleavened
es sei denn	unless
uneben	unleveled
nicht lizenziert	unlicensed
nicht wie	unlike
ungefüttert	unlined
Verknüpfung aufheben	unlink
nicht verknüpft	unlinked
nicht gelistet	unlisted
unbeleuchtet	unlit
Entlader	unloader
Freischalten	unlock
unversehens	unlooked
nicht liebenswert	unlovable
ungeliebt	unloved
unglücklicherweise	unluckily
ungemacht	unmade
Ungepflegt	unmaintained
aufheben	unmake
unüberschaubar	unmanageable
nicht verwaltet	unmanaged
Unmännlichkeit	unmanliness
unmännlich	unmanly
unbemannt	unmannered
ungezogen	unmannerly
ungefertigt	unmanufactured
nicht zugeordnet	unmapped
unmarkiert	unmarked
unverkäuflich	unmarketable
unverheiratet	unwed
entlarvt	unmasked
Entlarvung	unmasking
ungemessen	unmetered
unvermittelt	unmediated
Unerwähnbares	unmentionables
unerwähnt	unmentioned
nicht zusammengeführt	unmerged
unmethodisch	unmethodically
unmilitärisch	unmilitary
unvermischt	unmixed
ungemildert	unmitigated
unmischbar	unmixable
entformen	unmold
unbehelligt	unmolested
unüberwacht	unmonitored
unmotiviert	unmotivated
unbewegt	unmoved
unmusikalisch	unmusically
unbenennbar	unnamable
unnatürlich	unnaturally
Unnatürlichkeit	unnaturalness
entnerven	unnerve
nicht nummeriert	unnumbered
unbedenklich	unobjectionable
unbeobachtbar	unwatchable
unbeobachtet	unwatched
unaufdringlich	unpresumptuous
inoffiziell	unofficially
ungeöffnet	unopened
unoriginal	unoriginally
Unoriginalität	unoriginality
ohne Ornamente	unornamented
unorthodox	unorthodox
auspacken	unwrap
ungepolstert	unpadded
unbemalt	unpainted
ungepaart	unpaired
beispiellos	unprecedentedly
unparticular	unparticular
nicht patentiert	unpatented
unpatriotisch	unpatriotically
ungepflastert	unpaved
ungeschält	unshelled
abnehmen	unpeg
unpersuasive	unpersuasive
unpersuasively	unpersuasively
unphysisch	unphysical
abwählen	unselect
